panel,order_in_panel,assay,lloq,uloq,lod,pos.cutoff,assay_label,assay_label_short,llox_label,for_correlates,trunc
bind_IgA_nasal,1,bindSpike_IgA_nasal,21.7,2774.4,NA,21.7,Nasal Binding IgA Antibody to Spike D614,Nasal IgA Spike D614 (AU/ml),lloq,1,NA
bind_IgA_nasal,2,bindSpike_IgA_nasal_delta_AY.4,21.1,2698.2,NA,21.1,Nasal Binding IgA Antibody to Spike Delta AY.4,Nasal IgA Spike Delta AY.4 (AU/ml),lloq,1,NA
bind_IgA_nasal,3,bindSpike_IgA_nasal_BA.5,34,2175.1,NA,34,Nasal Binding IgA Antibody to Spike BA.5,Nasal IgA Spike BA.5 (AU/ml),lloq,1,NA
bind_IgA_nasal,4,bindSpike_IgA_nasal_BA.2.86,20,2557.7,NA,20,Nasal Binding IgA Antibody to Spike BA.2.86,Nasal IgA Spike BA.2.86 (AU/ml),lloq,1,NA
bind_IgA_nasal,5,bindSpike_IgA_nasal_XBB.1.5,46.2,1475.9,NA,46.2,Nasal Binding IgA Antibody to Spike XBB.1.5,Nasal IgA Spike XBB.1.5 (AU/ml),lloq,1,NA
bind_IgA_nasal,6,bindSpike_IgA_nasal_JN.1,75.9,2428.5,NA,75.9,Nasal Binding IgA Antibody to Spike JN.1,Nasal IgA Spike JN.1 (AU/ml),lloq,1,NA
bind_IgA_nasal,7,bindSpike_IgA_nasal_KP.2,18,2293.9,NA,18,Nasal Binding IgA Antibody to Spike KP.2,Nasal IgA Spike KP.2 (AU/ml),lloq,1,NA
bind_IgA_nasal,8,bindSpike_IgA_nasal_KP.3,18.5,2366.6,NA,18.5,Nasal Binding IgA Antibody to Spike KP.3,Nasal IgA Spike KP.3 (AU/ml),lloq,1,NA
bind_IgA_nasal,9,bindSpike_IgA_nasal_LB.1,14.1,1885.6,NA,14.1,Nasal Binding IgA Antibody to Spike LB.1,Nasal IgA Spike LB.1 (AU/ml),lloq,1,NA
bind_IgA_nasal,10,bindSpike_IgA_nasal_mdw,0,Inf,NA,0,Nasal Binding IgA Antibody to Spike crossreactivity score,Nasal IgA Spike crossreactivity score,lloq,1,NA
bind_IgA_nasal,11,bindN_IgA_nasal,NA,NA,NA,NA,Not measured,Not measured,lloq,1,NA
bind_IgG_saliva,1,bindSpike_IgG_saliva,8,1689.3,NA,8,Saliva Binding IgG Antibody to Spike Index,Saliva IgG Spike Index (AU/ml),lloq,1,NA
bind_IgG_saliva,2,bindSpike_IgG_saliva_delta_AY.4,9.5,1211.1,NA,9.5,Saliva Binding IgG Antibody to Spike Delta AY.4,Saliva IgG Spike Delta AY.4 (AU/ml),lloq,1,NA
bind_IgG_saliva,3,bindSpike_IgG_saliva_BA.5,4.6,836.3,NA,4.6,Saliva Binding IgG Antibody to Spike BA.5,Saliva IgG Spike BA.5 (AU/ml),lloq,1,NA
bind_IgG_saliva,4,bindSpike_IgG_saliva_BA.2.86,3.2,817.6,NA,3.2,Saliva Binding IgG Antibody to Spike BA.2.86,Saliva IgG Spike BA.2.86 (AU/ml),lloq,1,NA
bind_IgG_saliva,5,bindSpike_IgG_saliva_XBB.1.5,4.6,1045.9,NA,4.6,Saliva Binding IgG Antibody to Spike XBB.1.5,Saliva IgG Spike XBB.1.5 (AU/ml),lloq,1,NA
bind_IgG_saliva,6,bindSpike_IgG_saliva_JN.1,3.6,788.5,NA,3.6,Saliva Binding IgG Antibody to Spike JN.1,Saliva IgG Spike JN.1 (AU/ml),lloq,1,NA
