panel,order_in_panel,assay,lloq,uloq,lod,pos.cutoff,assay_label,assay_label_short,llox_label
bAb,1,bindNVXIgG,200,2904275,200,500,NVX IgG (EU),NVX IgG (EU),pos.cutoff
bAb,2,bindNVXIgGIU,16.7,242023,16.7,41.7,NVX IgG (IU),NVX IgG (IU),pos.cutoff
