"","Learner","Screen*"
"1","SL.mean","all"
"2","SL.gam","glmnet"
"3","SL.gam","univar_logistic_pval"
"4","SL.gam","highcor_random"
"5","SL.glm","all"
"6","SL.glm","glmnet"
"7","SL.glm","univar_logistic_pval"
"8","SL.glm","highcor_random"
"9","SL.glmnet.0","all"
"10","SL.glmnet.1","all"
"11","SL.xgboost.2.no","all"
"12","SL.xgboost.4.no","all"
"13","SL.xgboost.2.yes","all"
"14","SL.xgboost.4.yes","all"
"15","SL.ranger.no","all"
"16","SL.ranger.yes","all"
